Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,Tumor,CenterName,Submission,Consent,RunHash,ReadHash,Cultivar
SRR10518885,11/24/19 17:44,11/23/19 10:55,23900218,7170065400,23900218,300,2791,,https://sra-download.ncbi.nlm.nih.gov/traces/sra57/SRR/010272/SRR10518885,SRX7203860,berry_EE_4.1,RNA-Seq,size fractionation,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP231551,PRJNA591273,591273,SRS5708735,SAMN13376758,simple,29760,Vitis vinifera,berry_EE_4.1,no,THE UNIVERSITY OF ADELAIDE,SRA1001401,public,0515A8E804B22D0DD3DB2E54624CE5F6,8CB1C3228327C028D225E1784583E481,Shiraz
SRR10518886,11/24/19 17:44,11/23/19 10:57,25152571,7545771300,25152571,300,2923,,https://sra-download.ncbi.nlm.nih.gov/traces/sra11/SRR/010272/SRR10518886,SRX7203859,berry_EE_3.3,RNA-Seq,size fractionation,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP231551,PRJNA591273,591273,SRS5708734,SAMN13376757,simple,29760,Vitis vinifera,berry_EE_3.3,no,THE UNIVERSITY OF ADELAIDE,SRA1001401,public,95AC51F15767B4916A49A4DE501322DD,1B4FB0B244133651AC46016D4FFF0BFB,Shiraz
SRR10518887,11/24/19 17:44,11/23/19 11:06,25437776,7631332800,25437776,300,2976,,https://sra-download.ncbi.nlm.nih.gov/traces/sra57/SRR/010272/SRR10518887,SRX7203858,berry_EE_3.2,RNA-Seq,size fractionation,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP231551,PRJNA591273,591273,SRS5708733,SAMN13376756,simple,29760,Vitis vinifera,berry_EE_3.2,no,THE UNIVERSITY OF ADELAIDE,SRA1001401,public,147AA6F322F4D8F06BF063CDA8EE6DB1,88A0C1294432D1B7203886E1B5B79A6B,Shiraz
SRR10518888,11/24/19 17:44,11/23/19 10:58,27585001,8275500300,27585001,300,3182,,https://sra-download.ncbi.nlm.nih.gov/traces/sra13/SRR/010272/SRR10518888,SRX7203857,berry_EE_3.1,RNA-Seq,size fractionation,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP231551,PRJNA591273,591273,SRS5708732,SAMN13376755,simple,29760,Vitis vinifera,berry_EE_3.1,no,THE UNIVERSITY OF ADELAIDE,SRA1001401,public,10FDE9AAFD895361D996B16B6E9C1992,0869F0972EE41B312FC8A0C437758A6B,Shiraz
SRR10518889,11/24/19 17:44,11/23/19 10:57,26320541,7896162300,26320541,300,3035,,https://sra-download.ncbi.nlm.nih.gov/traces/sra11/SRR/010272/SRR10518889,SRX7203856,berry_EE_2.3,RNA-Seq,size fractionation,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP231551,PRJNA591273,591273,SRS5708731,SAMN13376754,simple,29760,Vitis vinifera,berry_EE_2.3,no,THE UNIVERSITY OF ADELAIDE,SRA1001401,public,265E2C177162B308B3166105B4954011,7D87E62698CAD414532FA407A66AA95A,Shiraz
SRR10518890,11/24/19 17:44,11/23/19 10:56,24562390,7368717000,24562390,300,2838,,https://sra-download.ncbi.nlm.nih.gov/traces/sra11/SRR/010272/SRR10518890,SRX7203855,berry_EE_2.2,RNA-Seq,size fractionation,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP231551,PRJNA591273,591273,SRS5708730,SAMN13376753,simple,29760,Vitis vinifera,berry_EE_2.2,no,THE UNIVERSITY OF ADELAIDE,SRA1001401,public,C0323FFA9DDB7DEA36041A9E69A164C6,5782C836E79B1A9475A6E6404F4E8B41,Shiraz
SRR10518891,11/24/19 17:44,11/23/19 10:55,23914867,7174460100,23914867,300,2784,,https://sra-download.ncbi.nlm.nih.gov/traces/sra36/SRR/010272/SRR10518891,SRX7203854,berry_EE_2.1,RNA-Seq,size fractionation,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP231551,PRJNA591273,591273,SRS5708729,SAMN13376752,simple,29760,Vitis vinifera,berry_EE_2.1,no,THE UNIVERSITY OF ADELAIDE,SRA1001401,public,E921D410085A194FC6C1E35442D4F886,C6AA1F1350A4E0382354240BF934C29E,Shiraz
SRR10518892,11/24/19 17:44,11/23/19 11:12,25269546,7580863800,25269546,300,2943,,https://sra-download.ncbi.nlm.nih.gov/traces/sra78/SRR/010272/SRR10518892,SRX7203853,berry_EE_1.3,RNA-Seq,size fractionation,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP231551,PRJNA591273,591273,SRS5708728,SAMN13376751,simple,29760,Vitis vinifera,berry_EE_1.3,no,THE UNIVERSITY OF ADELAIDE,SRA1001401,public,0DB8B300FFCD563B69C60BCE97E7D5B2,CEBC1D595B46D80E58961FAB86D9BF6D,Shiraz
SRR10518893,11/24/19 17:44,11/23/19 11:11,24099967,7229990100,24099967,300,2791,,https://sra-download.ncbi.nlm.nih.gov/traces/sra33/SRR/010272/SRR10518893,SRX7203852,berry_EE_1.2,RNA-Seq,size fractionation,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP231551,PRJNA591273,591273,SRS5708727,SAMN13376750,simple,29760,Vitis vinifera,berry_EE_1.2,no,THE UNIVERSITY OF ADELAIDE,SRA1001401,public,E42FC384B1844AB6B823BFDB0118E760,B724C918FCC10F0E53F3FEE7770A2CDD,Shiraz
SRR10518894,11/24/19 17:44,11/23/19 10:55,22716134,6814840200,22716134,300,2663,,https://sra-download.ncbi.nlm.nih.gov/traces/sra78/SRR/010272/SRR10518894,SRX7203851,berry_EE_1.1,RNA-Seq,size fractionation,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP231551,PRJNA591273,591273,SRS5708726,SAMN13376749,simple,29760,Vitis vinifera,berry_EE_1.1,no,THE UNIVERSITY OF ADELAIDE,SRA1001401,public,E88646FDECD0629F74A2C756F195D2F1,FC9936704DAC56633FB73B4EC5A7E1AF,Shiraz
SRR10518895,11/24/19 17:44,11/23/19 10:52,23827767,3574165050,23827767,150,1284,,https://sra-download.ncbi.nlm.nih.gov/traces/sra36/SRR/010272/SRR10518895,SRX7203850,leaf_NG_4.1,RNA-Seq,size fractionation,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP231551,PRJNA591273,591273,SRS5708725,SAMN13376668,simple,29760,Vitis vinifera,leaf_NG_4.1,no,THE UNIVERSITY OF ADELAIDE,SRA1001401,public,E3535E2928899FA248667C3DA6333053,E957E4EA5CC2EA243913FA2C5AF9D080,Shiraz
SRR10518896,11/24/19 17:44,11/23/19 11:00,31226189,9367856700,31226189,300,3641,,https://sra-download.ncbi.nlm.nih.gov/traces/sra27/SRR/010272/SRR10518896,SRX7203849,berry_CG_4.3,RNA-Seq,size fractionation,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP231551,PRJNA591273,591273,SRS5708724,SAMN13376748,simple,29760,Vitis vinifera,berry_CG_4.3,no,THE UNIVERSITY OF ADELAIDE,SRA1001401,public,8BC3AF264AF5041ADDD091FFCC6C8924,3D85326D9AE42FEABB00DC87EFEAFC83,Shiraz
