#algo	query_id	nb_reads	query_length	accession	description	organism	percentIdentity	nb_hsps	queryOverlap	hitOverlap	evalue	score	tax_id	taxonomy	sequence
"BLASTX"	"SRR10518886_3133"	"132"	"1127"	"RVW42414"	"Cytosolic endo-beta-N-acetylglucosaminidase 2 [Vitis vinifera]"	"Vitis vinifera"	"100.0"	"1"	"100"	"48"	"0"	"785.793"	"29760"	"Eukaryota;;Vitaceae;Vitis;Vitis vinifera"	""
"BLASTX"	"SRR10518886_7"	"2029"	"4462"	"XP_010656097"	"PREDICTED: oligouridylate-binding protein 1 isoform X1 [Vitis vinifera]"	"Vitis vinifera"	"100.0"	"1"	"26"	"92"	"0"	"746.888"	"29760"	"Eukaryota;;Vitaceae;Vitis;Vitis vinifera"	""
"BLASTX"	"SRR10518886_417"	"678"	"2306"	"RVW75166"	"putative pectate lyase 5 [Vitis vinifera]"	"Vitis vinifera"	"100.0"	"1"	"49"	"94"	"0"	"689.108"	"29760"	"Eukaryota;;Vitaceae;Vitis;Vitis vinifera"	""
"BLASTX"	"SRR10518886_2284"	"270"	"1291"	"XP_002281019"	"PREDICTED: 60S ribosomal protein L27a-3 [Vitis vinifera]"	"Vitis vinifera"	"99.2"	"1"	"30"	"90"	"4.36372e-86"	"269.24"	"29760"	"Eukaryota;;Vitaceae;Vitis;Vitis vinifera"	""
"BLASTX"	"SRR10518886_3158"	"68"	"1124"	"XP_002280181"	"PREDICTED: probable dolichyl pyrophosphate Man9GlcNAc2 alpha-1,3-glucosyltransferase isoform X1 [Vitis vinifera]"	"Vitis vinifera"	"99.4"	"1"	"86"	"62"	"0"	"666.766"	"29760"	"Eukaryota;;Vitaceae;Vitis;Vitis vinifera"	""
"BLASTX"	"SRR10518886_260"	"10047"	"2862"	"XP_002284659"	"PREDICTED: 4-hydroxy-3-methylbut-2-enyl diphosphate reductase, chloroplastic [Vitis vinifera]"	"Vitis vinifera"	"98.9"	"1"	"47"	"96"	"0"	"890.952"	"29760"	"Eukaryota;;Vitaceae;Vitis;Vitis vinifera"	""
"BLASTX"	"SRR10518886_2821"	"349"	"1182"	"XP_010654119"	"PREDICTED: mitochondrial fission protein ELM1 isoform X1 [Vitis vinifera]"	"Vitis vinifera"	"100.0"	"1"	"99"	"97"	"0"	"778.859"	"29760"	"Eukaryota;;Vitaceae;Vitis;Vitis vinifera"	""
"BLASTX"	"SRR10518886_2220"	"414"	"1302"	"XP_002281623"	"PREDICTED: probable sugar phosphate/phosphate translocator At1g12500 [Vitis vinifera]"	"Vitis vinifera"	"100.0"	"1"	"76"	"93"	"0"	"590.497"	"29760"	"Eukaryota;;Vitaceae;Vitis;Vitis vinifera"	""
"BLASTX"	"SRR10518886_1450"	"1724"	"1504"	"NP_001268175"	"glutamine synthetase cytosolic isozyme 1 [Vitis vinifera]"	"Vitis vinifera"	"99.7"	"1"	"71"	"100"	"0"	"731.865"	"29760"	"Eukaryota;;Vitaceae;Vitis;Vitis vinifera"	""
"BLASTX"	"SRR10518886_2602"	"316"	"1223"	"XP_002264408"	"PREDICTED: LMBR1 domain-containing protein 2 homolog A isoform X1 [Vitis vinifera]"	"Vitis vinifera"	"89.3"	"2"	"100"	"62"	"0"	"831.618"	"29760"	"Eukaryota;;Vitaceae;Vitis;Vitis vinifera"	""
