#query_id	query_length	cdd_id	hit_id	evalue	startQ	endQ	frame	description	superkingdom	no rank	family	genus	project
I8_0	6376	pfam01660	gnl|CDD|307679	1.34857e-88	5266	6204	-2	pfam01660, Vmethyltransf, Viral methyltransferase.  This RNA methyltransferase domain is found in a wide range of ssRNA viruses, including Hordei-, Tobra-, Tobamo-, Bromo-, Clostero- and Caliciviruses. This methyltransferase is involved in mRNA capping. Capping of mRNA enhances its stability. This usually occurs in the nucleus. Therefore, many viruses that replicate in the cytoplasm encode their own. This is a specific guanine-7-methyltransferase domain involved in viral mRNA cap0 synthesis. Specificity for guanine 7 position is shown by NMR in and in vivo role in cap synthesis. Based on secondary structure prediction, the basic fold is believed to be similar to the common AdoMet-dependent methyltransferase fold. A curious feature of this methyltransferase domain is that it together with flanking sequences seems to have guanylyltransferase activity coupled to the methyltransferase activity. The domain is found throughout the so-called Alphavirus superfamily, (including alphaviruses and several other groups). It forms the defining, unique feature of this superfamily.	Viruses(1.00);	ssRNA viruses(1.00);	Betaflexiviridae(0.23);Alphaflexiviridae(0.21);Virgaviridae(0.15);Tymoviridae(0.14);Bromoviridae(0.10);	Potexvirus(0.16);Carlavirus(0.11);Tymovirus(0.08);Alphavirus(0.07);Tobamovirus(0.07);	Inviceb2
I8_0	6376	pfam00978	gnl|CDD|250270	2.28268e-52	106	1014	-2	pfam00978, RdRP_2, RNA dependent RNA polymerase.  This family may represent an RNA dependent RNA polymerase. The family also contains the following proteins: 2A protein from bromoviruses putative RNA dependent RNA polymerase from tobamoviruses Non structural polyprotein from togaviruses.	Viruses(1.00);	ssRNA viruses(1.00);	Bromoviridae(0.31);Virgaviridae(0.29);Togaviridae(0.20);Closteroviridae(0.14);(0.03);	Alphavirus(0.20);Tobamovirus(0.11);Cucumovirus(0.09);Bromovirus(0.09);Ilarvirus(0.09);	Inviceb2
I8_0	6376	pfam05379	gnl|CDD|283122	9.86896e-20	2527	2787	-2	pfam05379, Peptidase_C23, Carlavirus endopeptidase.  A peptidase involved in auto-proteolysis of a polyprotein from the plant pathogen blueberry scorch carlavirus (BBScV). Corresponds to Merops family C23.	Viruses(1.00);	ssRNA viruses(1.00);	Betaflexiviridae(1.00);	Carlavirus(0.33);Citrivirus(0.33);Foveavirus(0.33);	Inviceb2
I8_0	6376	pfam13532	gnl|CDD|316090	6.15894e-09	3709	4080	-2	pfam13532, 2OG-FeII_Oxy_2, 2OG-Fe(II) oxygenase superfamily.  	Eukaryota(0.54);Bacteria(0.46);	(1.00);	Vahlkampfiidae(0.10);Acetobacteraceae(0.05);Rhodobacteraceae(0.05);Brassicaceae(0.05);Trypanosomatidae(0.05);	Naegleria(0.10);Arabidopsis(0.05);Paracoccus(0.03);Phytophthora(0.03);Clavispora(0.03);	Inviceb2
I8_0	6376	pfam01443	gnl|CDD|307550	9.26867e-07	1909	2274	-2	pfam01443, Viral_helicase1, Viral (Superfamily 1) RNA helicase.  Helicase activity for this family has been demonstrated and NTPase activity. This helicase has multiple roles at different stages of viral RNA replication, as dissected by mutational analysis.	Viruses(1.00);	ssRNA viruses(0.99);unclassified viruses(0.01);	Alphaflexiviridae(0.36);Virgaviridae(0.24);Betaflexiviridae(0.15);Tymoviridae(0.10);Bromoviridae(0.07);	Potexvirus(0.26);Allexivirus(0.10);Carlavirus(0.08);Tymovirus(0.08);Tobamovirus(0.08);	Inviceb2
I8_1	4469	pfam00978	gnl|CDD|250270	2.51176e-49	2148	3275	-1	pfam00978, RdRP_2, RNA dependent RNA polymerase.  This family may represent an RNA dependent RNA polymerase. The family also contains the following proteins: 2A protein from bromoviruses putative RNA dependent RNA polymerase from tobamoviruses Non structural polyprotein from togaviruses.	Viruses(1.00);	ssRNA viruses(1.00);	Bromoviridae(0.31);Virgaviridae(0.29);Togaviridae(0.20);Closteroviridae(0.14);(0.03);	Alphavirus(0.20);Tobamovirus(0.11);Cucumovirus(0.09);Bromovirus(0.09);Ilarvirus(0.09);	Inviceb2
I8_1	4469	pfam01443	gnl|CDD|307550	2.91586e-43	1416	2003	-1	pfam01443, Viral_helicase1, Viral (Superfamily 1) RNA helicase.  Helicase activity for this family has been demonstrated and NTPase activity. This helicase has multiple roles at different stages of viral RNA replication, as dissected by mutational analysis.	Viruses(1.00);	ssRNA viruses(0.99);unclassified viruses(0.01);	Alphaflexiviridae(0.36);Virgaviridae(0.24);Betaflexiviridae(0.15);Tymoviridae(0.10);Bromoviridae(0.07);	Potexvirus(0.26);Allexivirus(0.10);Carlavirus(0.08);Tymovirus(0.08);Tobamovirus(0.08);	Inviceb2
I8_1	4469	pfam01443	gnl|CDD|307550	4.20667e-05	4077	4364	-1	pfam01443, Viral_helicase1, Viral (Superfamily 1) RNA helicase.  Helicase activity for this family has been demonstrated and NTPase activity. This helicase has multiple roles at different stages of viral RNA replication, as dissected by mutational analysis.	Viruses(1.00);	ssRNA viruses(0.99);unclassified viruses(0.01);	Alphaflexiviridae(0.36);Virgaviridae(0.24);Betaflexiviridae(0.15);Tymoviridae(0.10);Bromoviridae(0.07);	Potexvirus(0.26);Allexivirus(0.10);Carlavirus(0.08);Tymovirus(0.08);Tobamovirus(0.08);	Inviceb2
I8_1	4469	pfam00286	gnl|CDD|278703	6.60455e-40	250	603	-3	pfam00286, Flexi_CP, Viral coat protein.  Family includes coat proteins from Potexviruses and carlaviruses.	Viruses(1.00);	ssRNA viruses(1.00);	Alphaflexiviridae(0.62);Betaflexiviridae(0.38);	Botrexvirus(0.12);Carlavirus(0.12);Allexivirus(0.12);Potexvirus(0.12);Mandarivirus(0.12);	Inviceb2
I8_1	4469	pfam01307	gnl|CDD|279627	3.0511e-19	1094	1399	-2	pfam01307, Plant_vir_prot, Plant viral movement protein.  This family includes several known plant viral movement proteins from a number of different ssRNA plant virus families including potexviruses, hordeiviruses and carlaviruses.	Viruses(1.00);	ssRNA viruses(1.00);	Alphaflexiviridae(0.44);Virgaviridae(0.22);Betaflexiviridae(0.22);Benyviridae(0.11);	Carlavirus(0.11);Allexivirus(0.11);Lolavirus(0.11);Pomovirus(0.11);Potexvirus(0.11);	Inviceb2
I8_100	1018	pfam00076	gnl|CDD|278504	7.8441e-18	274	486	-2	pfam00076, RRM_1, RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain).  The RRM motif is probably diagnostic of an RNA binding protein. RRMs are found in a variety of RNA binding proteins, including various hnRNP proteins, proteins implicated in regulation of alternative splicing, and protein components of snRNPs. The motif also appears in a few single stranded DNA binding proteins. The RRM structure consists of four strands and two helices arranged in an alpha/beta sandwich, with a third helix present during RNA binding in some cases The C-terminal beta strand (4th strand) and final helix are hard to align and have been omitted in the SEED alignment The LA proteins have an N terminal rrm which is included in the seed. There is a second region towards the C terminus that has some features characteristic of a rrm but does not appear to have the important structural core of a rrm. The LA proteins are one of the main autoantigens in Systemic lupus erythematosus (SLE), an autoimmune disease.	Eukaryota(1.00);	(1.00);	Saccharomycetaceae(0.39);Drosophilidae(0.31);Hominidae(0.10);Schizosaccharomycetaceae(0.06);Solanaceae(0.04);	Saccharomyces(0.39);Drosophila(0.31);Homo(0.10);Schizosaccharomyces(0.06);Solanum(0.04);	Inviceb2
I8_100	1018	pfam00076	gnl|CDD|278504	2.0917e-10	541	741	-2	pfam00076, RRM_1, RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain).  The RRM motif is probably diagnostic of an RNA binding protein. RRMs are found in a variety of RNA binding proteins, including various hnRNP proteins, proteins implicated in regulation of alternative splicing, and protein components of snRNPs. The motif also appears in a few single stranded DNA binding proteins. The RRM structure consists of four strands and two helices arranged in an alpha/beta sandwich, with a third helix present during RNA binding in some cases The C-terminal beta strand (4th strand) and final helix are hard to align and have been omitted in the SEED alignment The LA proteins have an N terminal rrm which is included in the seed. There is a second region towards the C terminus that has some features characteristic of a rrm but does not appear to have the important structural core of a rrm. The LA proteins are one of the main autoantigens in Systemic lupus erythematosus (SLE), an autoimmune disease.	Eukaryota(1.00);	(1.00);	Saccharomycetaceae(0.39);Drosophilidae(0.31);Hominidae(0.10);Schizosaccharomycetaceae(0.06);Solanaceae(0.04);	Saccharomyces(0.39);Drosophila(0.31);Homo(0.10);Schizosaccharomyces(0.06);Solanum(0.04);	Inviceb2
I8_1000	497	pfam13855	gnl|CDD|316378	1.65666e-10	169	351	1	pfam13855, LRR_8, Leucine rich repeat.  	Eukaryota(1.00);	(1.00);	Branchiostomidae(0.39);Drosophilidae(0.16);Culicidae(0.12);Tetraodontidae(0.06);Hominidae(0.06);	Branchiostoma(0.39);Drosophila(0.16);Culex(0.06);Homo(0.06);Tetraodon(0.06);	Inviceb2
I8_1001	497	pfam01803	gnl|CDD|307769	1.56093e-48	3	410	3	pfam01803, LIM_bind, LIM-domain binding protein.  The LIM-domain binding protein, binds to the LIM domain pfam00412 of LIM homeodomain proteins which are transcriptional regulators of development. Nuclear LIM interactor (NLI) / LIM domain-binding protein 1 (LDB1) is located in the nuclei of neuronal cells during development, it is co-expressed with Isl1 in early motor neuron differentiation and has a suggested role in the Isl1 dependent development of motor neurons. It is suggested that these proteins act synergistically to enhance transcriptional efficiency by acting as co-factors for LIM homeodomain and Otx class transcription factors both of which have essential roles in development. The Drosophila protein Chip is required for segmentation and activity of a remote wing margin enhancer. Chip is a ubiquitous chromosomal factor required for normal expression of diverse genes at many stages of development. It is suggested that Chip cooperates with different LIM domain proteins and other factors to structurally support remote enhancer-promoter interactions.	Eukaryota(1.00);	(1.00);	Saccharomycetaceae(0.17);Debaryomycetaceae(0.06);Mycosphaerellaceae(0.04);(0.04);Aspergillaceae(0.04);	Kazachstania(0.04);Schizosaccharomyces(0.03);Candida(0.03);Naumovozyma(0.03);Eremothecium(0.02);	Inviceb2
