query_id,query_length,cdd_id,hit_id,evalue,startQ,endQ,frame,description,superkingdom,no rank,family,genus,project
I1-2_0,7208,pfam01660,gnl|CDD|307679,1.27E-96,175,1113,1,"pfam01660, Vmethyltransf, Viral methyltransferase.  This RNA methyltransferase domain is found in a wide range of ssRNA viruses, including Hordei-, Tobra-, Tobamo-, Bromo-, Clostero- and Caliciviruses. This methyltransferase is involved in mRNA capping. Capping of mRNA enhances its stability. This usually occurs in the nucleus. Therefore, many viruses that replicate in the cytoplasm encode their own. This is a specific guanine-7-methyltransferase domain involved in viral mRNA cap0 synthesis. Specificity for guanine 7 position is shown by NMR in and in vivo role in cap synthesis. Based on secondary structure prediction, the basic fold is believed to be similar to the common AdoMet-dependent methyltransferase fold. A curious feature of this methyltransferase domain is that it together with flanking sequences seems to have guanylyltransferase activity coupled to the methyltransferase activity. The domain is found throughout the so-called Alphavirus superfamily, (including alphaviruses and several other groups). It forms the defining, unique feature of this superfamily.",Viruses(1.00);,ssRNA viruses(1.00);,Betaflexiviridae(0.23);Alphaflexiviridae(0.21);Virgaviridae(0.15);Tymoviridae(0.14);Bromoviridae(0.10);,Potexvirus(0.16);Carlavirus(0.11);Tymovirus(0.08);Alphavirus(0.07);Tobamovirus(0.07);,Inviceb4
I1-2_0,7208,pfam00978,gnl|CDD|250270,7.29E-53,5293,6273,1,"pfam00978, RdRP_2, RNA dependent RNA polymerase.  This family may represent an RNA dependent RNA polymerase. The family also contains the following proteins: 2A protein from bromoviruses putative RNA dependent RNA polymerase from tobamoviruses Non structural polyprotein from togaviruses.",Viruses(1.00);,ssRNA viruses(1.00);,Bromoviridae(0.31);Virgaviridae(0.29);Togaviridae(0.20);Closteroviridae(0.14);(0.03);,Alphavirus(0.20);Tobamovirus(0.11);Cucumovirus(0.09);Bromovirus(0.09);Ilarvirus(0.09);,Inviceb4
I1-2_0,7208,pfam01443,gnl|CDD|307550,5.17E-45,6637,7206,1,"pfam01443, Viral_helicase1, Viral (Superfamily 1) RNA helicase.  Helicase activity for this family has been demonstrated and NTPase activity. This helicase has multiple roles at different stages of viral RNA replication, as dissected by mutational analysis.",Viruses(1.00);,ssRNA viruses(0.99);unclassified viruses(0.01);,Alphaflexiviridae(0.36);Virgaviridae(0.24);Betaflexiviridae(0.15);Tymoviridae(0.10);Bromoviridae(0.07);,Potexvirus(0.26);Allexivirus(0.10);Carlavirus(0.08);Tymovirus(0.08);Tobamovirus(0.08);,Inviceb4
I1-2_0,7208,pfam01443,gnl|CDD|307550,4.38E-07,4105,4563,1,"pfam01443, Viral_helicase1, Viral (Superfamily 1) RNA helicase.  Helicase activity for this family has been demonstrated and NTPase activity. This helicase has multiple roles at different stages of viral RNA replication, as dissected by mutational analysis.",Viruses(1.00);,ssRNA viruses(0.99);unclassified viruses(0.01);,Alphaflexiviridae(0.36);Virgaviridae(0.24);Betaflexiviridae(0.15);Tymoviridae(0.10);Bromoviridae(0.07);,Potexvirus(0.26);Allexivirus(0.10);Carlavirus(0.08);Tymovirus(0.08);Tobamovirus(0.08);,Inviceb4
I1-2_0,7208,pfam05379,gnl|CDD|283122,1.41E-22,3592,3852,1,"pfam05379, Peptidase_C23, Carlavirus endopeptidase.  A peptidase involved in auto-proteolysis of a polyprotein from the plant pathogen blueberry scorch carlavirus (BBScV). Corresponds to Merops family C23.",Viruses(1.00);,ssRNA viruses(1.00);,Betaflexiviridae(1.00);,Carlavirus(0.33);Citrivirus(0.33);Foveavirus(0.33);,Inviceb4
I1-2_0,7208,pfam13532,gnl|CDD|316090,4.33E-08,2299,2670,1,"pfam13532, 2OG-FeII_Oxy_2, 2OG-Fe(II) oxygenase superfamily.  ",Eukaryota(0.54);Bacteria(0.46);,(1.00);,Vahlkampfiidae(0.10);Acetobacteraceae(0.05);Rhodobacteraceae(0.05);Brassicaceae(0.05);Trypanosomatidae(0.05);,Naegleria(0.10);Arabidopsis(0.05);Paracoccus(0.03);Phytophthora(0.03);Clavispora(0.03);,Inviceb4
I1-2_1,5282,pfam00978,gnl|CDD|250270,3.49E-53,4195,5103,1,"pfam00978, RdRP_2, RNA dependent RNA polymerase.  This family may represent an RNA dependent RNA polymerase. The family also contains the following proteins: 2A protein from bromoviruses putative RNA dependent RNA polymerase from tobamoviruses Non structural polyprotein from togaviruses.",Viruses(1.00);,ssRNA viruses(1.00);,Bromoviridae(0.31);Virgaviridae(0.29);Togaviridae(0.20);Closteroviridae(0.14);(0.03);,Alphavirus(0.20);Tobamovirus(0.11);Cucumovirus(0.09);Bromovirus(0.09);Ilarvirus(0.09);,Inviceb4
I1-2_1,5282,pfam05379,gnl|CDD|283122,1.02E-21,2422,2682,1,"pfam05379, Peptidase_C23, Carlavirus endopeptidase.  A peptidase involved in auto-proteolysis of a polyprotein from the plant pathogen blueberry scorch carlavirus (BBScV). Corresponds to Merops family C23.",Viruses(1.00);,ssRNA viruses(1.00);,Betaflexiviridae(1.00);,Carlavirus(0.33);Citrivirus(0.33);Foveavirus(0.33);,Inviceb4
I1-2_1,5282,pfam01443,gnl|CDD|307550,5.01E-08,2935,3393,1,"pfam01443, Viral_helicase1, Viral (Superfamily 1) RNA helicase.  Helicase activity for this family has been demonstrated and NTPase activity. This helicase has multiple roles at different stages of viral RNA replication, as dissected by mutational analysis.",Viruses(1.00);,ssRNA viruses(0.99);unclassified viruses(0.01);,Alphaflexiviridae(0.36);Virgaviridae(0.24);Betaflexiviridae(0.15);Tymoviridae(0.10);Bromoviridae(0.07);,Potexvirus(0.26);Allexivirus(0.10);Carlavirus(0.08);Tymovirus(0.08);Tobamovirus(0.08);,Inviceb4
I1-2_1,5282,pfam13532,gnl|CDD|316090,2.55E-05,1132,1500,1,"pfam13532, 2OG-FeII_Oxy_2, 2OG-Fe(II) oxygenase superfamily.  ",Eukaryota(0.54);Bacteria(0.46);,(1.00);,Vahlkampfiidae(0.10);Acetobacteraceae(0.05);Rhodobacteraceae(0.05);Brassicaceae(0.05);Trypanosomatidae(0.05);,Naegleria(0.10);Arabidopsis(0.05);Paracoccus(0.03);Phytophthora(0.03);Clavispora(0.03);,Inviceb4
