#query_id	query_length	cdd_id	hit_id	evalue	startQ	endQ	frame	description	superkingdom	no rank	family	genus
"SRR10518941_0"	"3938"	"pfam06957"	"gnl|CDD|311108"	"0"	"480"	"1670"	"-1"	"pfam06957, COPI_C, Coatomer (COPI) alpha subunit C-terminus.  This family represents the C-terminus (approximately 500 residues) of the eukaryotic coatomer alpha subunit. Coatomer (COPI) is a large cytosolic protein complex which forms a coat around vesicles budding from the Golgi apparatus. Such coatomer-coated vesicles have been proposed to play a role in many distinct steps of intracellular transport. Note that many family members also contain the pfam04053 domain."	"Eukaryota(1.00);"	"(1.00);"	"(0.06);Brassicaceae(0.06);Amborellaceae(0.06);Mamiellaceae(0.06);Poaceae(0.06);"	"Amborella(0.06);Micromonas(0.06);Daphnia(0.03);Brassica(0.03);Ciona(0.03);"
"SRR10518941_0"	"3938"	"pfam04053"	"gnl|CDD|309255"	"2.6351e-169"	"1809"	"3107"	"-1"	"pfam04053, Coatomer_WDAD, Coatomer WD associated region.  This region is composed of WD40 repeats."	"Eukaryota(1.00);"	"(1.00);"	"Saccharomycetaceae(0.22);Debaryomycetaceae(0.13);Trichomonadidae(0.09);Trypanosomatidae(0.07);Edwardsiidae(0.04);"	"Trichomonas(0.09);Leishmania(0.04);Meyerozyma(0.04);Dictyostelium(0.04);Saccharomyces(0.04);"
"SRR10518941_0"	"3938"	"pfam00400"	"gnl|CDD|334060"	"1.12038e-08"	"3627"	"3743"	"-1"	"pfam00400, WD40, WD domain, G-beta repeat.  "	"Eukaryota(0.95);Bacteria(0.05);"	"(1.00);"	"Schizosaccharomycetaceae(0.17);Saccharomycetaceae(0.17);Rhabditidae(0.15);Brassicaceae(0.09);Hominidae(0.06);"	"Schizosaccharomyces(0.17);Saccharomyces(0.16);Caenorhabditis(0.15);Arabidopsis(0.09);Homo(0.06);"
"SRR10518941_0"	"3938"	"pfam00400"	"gnl|CDD|334060"	"9.86366e-08"	"3753"	"3866"	"-1"	"pfam00400, WD40, WD domain, G-beta repeat.  "	"Eukaryota(0.95);Bacteria(0.05);"	"(1.00);"	"Schizosaccharomycetaceae(0.17);Saccharomycetaceae(0.17);Rhabditidae(0.15);Brassicaceae(0.09);Hominidae(0.06);"	"Schizosaccharomyces(0.17);Saccharomyces(0.16);Caenorhabditis(0.15);Arabidopsis(0.09);Homo(0.06);"
"SRR10518941_0"	"3938"	"pfam00400"	"gnl|CDD|334060"	"2.21032e-06"	"3288"	"3395"	"-1"	"pfam00400, WD40, WD domain, G-beta repeat.  "	"Eukaryota(0.95);Bacteria(0.05);"	"(1.00);"	"Schizosaccharomycetaceae(0.17);Saccharomycetaceae(0.17);Rhabditidae(0.15);Brassicaceae(0.09);Hominidae(0.06);"	"Schizosaccharomyces(0.17);Saccharomyces(0.16);Caenorhabditis(0.15);Arabidopsis(0.09);Homo(0.06);"
"SRR10518941_0"	"3938"	"pfam00400"	"gnl|CDD|334060"	"1.40055e-05"	"3423"	"3524"	"-1"	"pfam00400, WD40, WD domain, G-beta repeat.  "	"Eukaryota(0.95);Bacteria(0.05);"	"(1.00);"	"Schizosaccharomycetaceae(0.17);Saccharomycetaceae(0.17);Rhabditidae(0.15);Brassicaceae(0.09);Hominidae(0.06);"	"Schizosaccharomyces(0.17);Saccharomyces(0.16);Caenorhabditis(0.15);Arabidopsis(0.09);Homo(0.06);"
"SRR10518941_10"	"1589"	"pfam07714"	"gnl|CDD|336778"	"5.48956e-56"	"3"	"695"	"-1"	"pfam07714, Pkinase_Tyr, Protein tyrosine kinase.  "	"Eukaryota(1.00);"	"(1.00);"	"Rhabditidae(0.22);Muridae(0.19);Hominidae(0.14);Drosophilidae(0.14);Phasianidae(0.07);"	"Caenorhabditis(0.22);Drosophila(0.14);Homo(0.14);Rattus(0.10);Mus(0.09);"
"SRR10518941_11"	"1519"	"pfam07534"	"gnl|CDD|311470"	"7.85833e-37"	"359"	"766"	"-1"	"pfam07534, TLD, TLD.  This domain is predicted to be an enzyme and is often found associated with pfam01476. It's structure consists of a beta-sandwich surrounded by two helices and two one-turn helices."	"Eukaryota(1.00);"	"(1.00);"	"Trichomonadidae(0.37);Saccharomycetaceae(0.09);Aspergillaceae(0.07);(0.06);Debaryomycetaceae(0.04);"	"Trichomonas(0.37);Aspergillus(0.07);Dictyostelium(0.06);Nematostella(0.04);Tetraodon(0.04);"
"SRR10518941_12"	"1459"	"pfam00191"	"gnl|CDD|333913"	"2.70366e-21"	"132"	"326"	"3"	"pfam00191, Annexin, Annexin.  This family of annexins also includes giardin that has been shown to function as an annexin."	"Eukaryota(1.00);"	"(1.00);"	"Bovidae(0.18);Adrianichthyidae(0.16);Rhabditidae(0.14);Hominidae(0.10);Brassicaceae(0.08);"	"Bos(0.18);Oryzias(0.16);Caenorhabditis(0.14);Homo(0.10);Arabidopsis(0.08);"
"SRR10518941_12"	"1459"	"pfam00191"	"gnl|CDD|333913"	"3.49233e-20"	"819"	"1016"	"3"	"pfam00191, Annexin, Annexin.  This family of annexins also includes giardin that has been shown to function as an annexin."	"Eukaryota(1.00);"	"(1.00);"	"Bovidae(0.18);Adrianichthyidae(0.16);Rhabditidae(0.14);Hominidae(0.10);Brassicaceae(0.08);"	"Bos(0.18);Oryzias(0.16);Caenorhabditis(0.14);Homo(0.10);Arabidopsis(0.08);"
